start,end
439816.18300789,439866.535487661
439881.826294753,439909.914505755
439960.32631251,440016.863928807
440031.924389413,440088.83853363
440102.399242814,440136.590517819
440153.542492855,440166.005238967
440200.385814538,440231.892937865
440232.156998883,440260.446376761
440271.04489514,440284.977075107
440292.244228428,440327.424508077
440375.621278158,440424.900133091
440434.192284945,440453.586817241
440455.172448363,440477.082631168
440481.563430538,440498.451647341
440505.768402994,440527.388948983
440529.223977936,440552.865489956
440553.660919479,440573.63404317
440574.54237844,440593.018274218
440596.71429377,440621.208924374
440621.846370236,440644.068625165
440645.414481251,440663.42554096
440697.695152785,440709.109325503
440711.24978423,440727.69868246
440734.813175862,440761.204259549
440777.198337383,440791.04732246
440818.427173076,440838.858372062
440839.837653534,440860.599810519
440860.733540556,440884.688449245
440888.194524066,440904.595098314
441018.303356422,441033.072230204
441043.21455903,441065.568004373
441065.568004373,441083.282331238
441083.685270175,441100.92106564
441104.139047224,441124.241375745
441126.169624597,441146.866119211
441147.135015757,441172.375905766
441179.349145213,441196.994773435
441197.803759104,441218.298857672
441219.993831202,441236.93055545
441237.71581674,441255.790404102
441256.109268371,441271.323718657
441271.382285945,441286.495647949
441293.456282117,441313.26392794
441315.844510043,441334.948233159
441377.30733832,441383.940018917
441393.258226011,441413.515954819
441413.957077046,441431.980555592
